paper_id,title,decision,track_source,openreview_url,author_names,author_institutions
118510,Automated Detection of Visual Attribute Reliance with a Self-Reflective Agent,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=LyH2ISbOV8,Christy Li; Josep Lopez Camuñas; Jake Touchet; Jacob Andreas; Agata Lapedriza; Antonio Torralba; Tamar Shaham,Massachusetts Institute of Technology; Universitat Oberta de Catalunya; Louisiana Tech University; MIT; Northeastern University; MIT; Massachusetts Institute of Technology
119750,Covariances for Free: Exploiting Mean Distributions for Training-free Federated Learning,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=71e1UmCMQ9,Dipam Goswami; Simone Magistri; KAI WANG; Bartłomiej Twardowski; Andrew Bagdanov; Joost van de Weijer,"Computer Vision Center, Universitat Autónoma de Barcelona; University of Florence; City University of Hong Kong (Dongguan); IDEAS NCBR; University of Florence; Computer Vision Center Barcelona"
116213,DeCaFlow: A deconfounding causal generative model,Accept (spotlight),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=mOYGK7Hw9Y,Alejandro Almodóvar; Adrián Javaloy; Juan Parras; Santiago Zazo; Isabel Valera,"Universidad Politécnica de Madrid; Edinburgh University, University of Edinburgh; Universidad Politécnica de Madrid; Universidad Politécnica de Madrid; Saarland University, Saarbrücken"
115820,Demystifying Spectral Feature Learning for Instrumental Variable Regression,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=r2jhtAD0yZ,Dimitri Meunier; Antoine Moulin; Jakub Wornbard; Vladimir Kostic; Arthur Gretton,"Gatsby Computational Neuroscience Unit, UCL; Universitat Pompeu Fabra; University College London, University of London; Istituto Italiano di Tecnologia, Genova; Google Deepmind / UCL"
118074,Distances for Markov chains from sample streams,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=Qz3s5ANjnN,Sergio Calo; Anders Jonsson; Gergely Neu; Ludovic Schwartz; Javier Segovia-Aguas,Universitat Pompeu Fabra; Universitat Pompeu Fabra; Universitat Pompeu Fabra; Universitat Pompeu Fabra; Universitat Pompeu Fabra
115191,Efficient Low-Rank Model Merging in Core Space,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=y1z7SAS8q8,Aniello Panariello; Daniel Marczak; Simone Magistri; Angelo Porrello; Bartłomiej Twardowski; Andrew Bagdanov; SIMONE CALDERARA; Joost van de Weijer,"University of Modena and Reggio Emilia; IDEAS NCBR; University of Florence; University of Modena and Reggio Emilia; IDEAS NCBR; University of Florence; University of Modena and Reggio Emilia, Italy; Computer Vision Center Barcelona"
116962,Free-Lunch Color-Texture Disentanglement for Stylized Image Generation,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=e0ltwNcoIp,Jiang Qin; Alexandra Gomez-Villa; Senmao Li; Shiqi Yang; Yaxing Wang; KAI WANG; Joost van de Weijer,"Harbin Institute of Technology; Universitat Autónoma de Barcelona; Nankai University; SB Intuitions, SoftBank; Nankai University; City University of Hong Kong (Dongguan); Computer Vision Center Barcelona"
119835,Generalizable Reasoning through Compositional Energy Minimization,Accept (spotlight),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=5k0AHYc4MJ,Alexandru Oarga; Yilun Du,University of Barcelona; Google Deepmind / Harvard
120119,Large language models can learn and generalize steganographic chain-of-thought under process supervision,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=2g5cJqX15Y,ROBERT MC CARTHY; Joey SKAF; Luis Ibanez-Lissen; Vasil Georgiev; Connor Watts; Hannes Whittingham; Lorena Gonzalez-Manzano; Cameron Tice; Edward Young; Puria Radmard; David Lindner,"University College London; Meridian Office / CAISH; Universidad Carlos III Madrid; Queen Mary, University of London; LASR Labs; Universidad Carlos III de Madrid; University of Cambridge; University of Cambridge; University of Cambridge; Google DeepMind"
121477,Measuring what Matters: Construct Validity in Large Language Model Benchmarks,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Datasets_and_Benchmarks_Track,https://openreview.net/forum?id=mdA5lVvNcU,Andrew M. Bean; Ryan Othniel Kearns; Angelika Romanou; Franziska Sofia Hafner; Harry Mayne; Jan Batzner; Negar Foroutan Eghlidi; Chris Schmitz; Karolina Korgul; Hunar Batra; Oishi Deb; Emma Beharry; Cornelius Emde; Thomas Foster; Anna Gausen; María Grandury; Sophia Simeng Han; Valentin Hofmann; Lujain Ibrahim; Hazel Kim; Hannah Rose Kirk; Fangru Lin; Gabrielle Liu; Lennart Luettgau; Jabez Magomere; Jonathan Rystrøm; Anna Sotnikova; Yushi Yang; Yilun Zhao; Adel Bibi; Antoine Bosselut; Ronald Clark; Arman Cohan; Jakob Foerster; Yarin Gal; Scott Hale; Deborah Raji; Christopher Summerfield; Philip Torr; Cozmin Ududec; Luc Rocher; Adam Mahdi,"University of Oxford; University of Oxford; EPFL; University of Oxford; University of Oxford; TUM; Weizenbaum Institute; École polytechnique fédérale de Lausanne (EPFL); Centre for Digital Governance, Hertie School; Oxford Internet Institute, University of Oxford; University of Oxford; University of Oxford, DeepMind Scholar; Stanford University; University of Oxford; University of Oxford; Imperial College London; Universidad Politécnica de Madrid / SomosNLP; Yale University; Allen Institute for AI; University of Oxford; University of Oxford; University of Oxford / UK AISI; University of Oxford; Department of Computer Science, Yale University; AI Security Institute; University of Oxford; University of Oxford; EPFL - EPF Lausanne; University of Oxford; Yale University; University of Oxford; EPFL; University of Oxford; Yale University; University of Oxford; University of Oxford; Meedan; UC Berkeley; University of Oxford; University of Oxford; UK government; University of Oxford; University of Oxford"
116737,Multi-View Oriented GPLVM: Expressiveness and Efficiency,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=gVtk4lzhcl,Zi Yang; Ying Li; Zhidi Lin; Michael Minyi Zhang; Pablo Martinez Olmos,University of Hong Kong; University of Hong Kong; University of Hong Kong; University of Hong Kong; Universidad Carlos III de Madrid
121394,OCEANBENCH: A BENCHMARK FOR DATA-DRIVEN GLOBAL OCEAN FORECASTING SYSTEMS,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Datasets_and_Benchmarks_Track,https://openreview.net/forum?id=wZGe1Kqs8G,Anass El Aouni; Quentin Gaudel; J. Emmanuel Johnson; REGNIER Charly; Julien Le Sommer; Simon van Gennip; ronan fablet; Marie Drevillon; Yann DRILLET; Pierre Le Traon,"Mercator Ocean International, Toulouse, France.; Mercator Ocean international; University of Valencia; Mercator Ocean International; CNRS; Mercator Ocean International; IMT Atlantique; Mercator Ocean International; mercator ocean international; Mercator Ocean"
115543,Offline imitation learning in $Q^\pi$-realizable MDPs without expert realizability,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=tvEE9KQcLi,Antoine Moulin; Gergely Neu; Luca Viano,Universitat Pompeu Fabra; Universitat Pompeu Fabra; EPFL
119490,Optimality of the Median-of-Means Estimator under Adversarial Contamination,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=A0aUS60Kvk,Xabier de Juan; Santiago Mazuelas,BCAM; Basque Center for Applied Mathematics
115219,PINN Balls: Scaling Second-Order Methods for PINNs with Domain Decomposition and Adaptive Sampling,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=xhKsnxJ9FD,Andrea Bonfanti; Ismael Medina; Roman List; Björn Staeves; Roberto Santana; Marco Ellero,Green 14 AB; Georg-August Universität Göttingen; Technische Hochschule OWL; Technische Universität München; University of the Basque Country; Swansea University
121942,"Position: If Innovation in AI systematically Violates Fundamental Rights, Is It Innovation at All?",Accept,https://openreview.net/group?id=NeurIPS.cc/2025/Position_Paper_Track,https://openreview.net/forum?id=PFRandBfSz,Josu Eguíluz; Axel Brando; Migle Laukyte; Marc Serra-Vidal,Universitat Pompeu Fabra &amp; Adevinta.; Barcelona Supercomputing Center (BSC); Universitat Pompeu Fabra; Universitat Oberta de Catalunya
117268,Practical do-Shapley Explanations with Estimand-Agnostic Causal Inference,Accept (spotlight),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=aTiMLVePXi,Álvaro Parafita; Tomas Garriga; Axel Brando; Francisco Cazorla,Barcelona Supercomputing Center; Novartis | Barcelona Supercomputing Center; Barcelona Supercomputing Center (BSC); Barcelona Supercomputing Center
117095,Robust Minimax Boosting with Performance Guarantees,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=cRKLbmU4dT,Santiago Mazuelas; Veronica Alvarez,Basque Center for Applied Mathematics; MIT
119048,"Sinusoidal Initialization, Time for a New Start",Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=FGliQVcrDZ,Alberto Fernandez-Hernandez; Jose Mestre; Manuel F. Dolz; José Duato; Enrique Quintana-Orti,Polytechnic University of Valencia; Universitat Jaume I de Castellón; Universitat Jaume I de Castellón; Universidad Politécnica de Valencia; Universidad Politécnica de Valencia
115943,Sparse Optimistic Information Directed Sampling,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=pcLsaspXSi,Hamish Flynn; Gergely Neu; Ludovic Schwartz,Universitat Pompeu Fabra; Universitat Pompeu Fabra; Universitat Pompeu Fabra
116877,Split conformal classification with unsupervised calibration,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=ewP2Gx85wb,Santiago Mazuelas,Basque Center for Applied Mathematics
116542,When Lower-Order Terms Dominate: Adaptive Expert Algorithms for Heavy-Tailed Losses,Accept (poster),https://openreview.net/group?id=NeurIPS.cc/2025/Conference,https://openreview.net/forum?id=idqBQnot0t,Antoine Moulin; Emmanuel Esposito; Dirk van der Hoeven,Universitat Pompeu Fabra; University of Milan; Università degli Studi di Milano
